PO Number	UPC	Model	ASIN	Description	Sugested Retail	Discount	Cost	Qty Ordered	Qty Confirmed	Delivery beguin date	End Delivery date	Type	Max Delivery Date	Availability/Comment	Error del intento anterior de carga	Vendor Code	DC Delivery	Identificador de consolidación	Condition	PO Date	Freight Term	Payment Method	Special Instructions	Comments	Legal entity identifier	Currency code	External identifier type	Quantity of products per package	Added quantity	Seller Customer ID	Seller SKU List
16TWUSTR	056389006614	661	B000RZQR7I	Coghlan´s 661 Handy Duct Tape	MXN 47.19	0%	MXN 47.19	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389098312	9831	B0019LCM8M	Coghlan´s 9831 Light Sticks Bulk, Blue, Pack of 50	MXN 2,192.67	25%	MXN 1,644.50	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389079250	7925	B001J4NEOU		MXN 115.00	0%	MXN 115.00	4	4	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	696904013545	RIS8S	B001MUILYY	Dr.Slick Ris8S Pin Retractil, Plateado, Cable Acero Anillo "8"	MXN 189.00	0%	MXN 189.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	714195143946	7216000008	B001RORNDK	Schutt 7216000008 Organizador para Escritorio tipo Casco MLB, Caddy Btrs Chicago Cubs, Multicolor, Talla Única	MXN 466.80	17%	MXN 389.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	714195146046	7216000029	B001ROYHF2	Schutt 7216000029 Organizador para Escritorio Tipo Casco MLB, Caddy Btrs Chicago White Sox, Multicolor, Talla Única	MXN 466.80	17%	MXN 389.00	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969957721	370120.1010.10.ONE	B002LDUDFG	Mizuno 370120.1010.10.ONE Rodillera Deslizante, Juventud, Rojo	MXN 270.13	23%	MXN 209.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969957776	370120.5252.10.ONE	B002LDUDHY	Mizuno 370120.5252.10.ONE Rodillera Deslizante, Juventud, Real	MXN 300.86	31%	MXN 209.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	696904011718	SNH4G	B002XY45Z2	Dr.Slick SNH4G XBC Corta Linea con Pin Retractil 2", Agarradera de Hule Texturizado, Blanco	MXN 449.00	0%	MXN 449.00	3	3	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	696904011343	SAP4G	B003OCBR44	Dr.Slick SAP4G Tijeras Multipropósito 4", Arillos Oro, Derecha	MXN 399.00	0%	MXN 399.00	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969180655	370131.9090.06.L	B003Z7VENC	Mizuno 370131.9090.06.L No Show Performance Socks, Black, Large	MXN 162.93	36%	MXN 105.00	3	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969524909	350462.5151.06.L	B004HCARDM	Mizuno Girls Youth Belted Low Rise Fastpitch Softball Pant, Navy, Youth Large	MXN 798.52	1%	MXN 789.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389010017	1001	B004RHQN58	Coghlan's 1001 - Estaca de carpa ultraligera, color naranja	MXN 2,668.97	25%	MXN 2,002.00	4	4	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	772259308496	SAQ-WV10-02	B004UG9W9A	SKLZ SAQ-WV10-02 Saco con Peso, Weighted Vest 10 Lbs	MXN 1,847.41	17%	MXN 1,539.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	891226002899	2134402.100.M/A400PX2	B0062AZ2DM	EvoShield PX2 International Shin Guard, Medium	MXN 481.90	36%	MXN 309.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969368312	380223.1010.07.XL	B008M0UO10	Mizuno 380223.1010.07.XL MBH100 Classic Batter's Helmet, Red, 7 1/2-7 3/4-Inch	MXN 1,369.00	0%	MXN 1,369.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
