KeyMonth	calendar_date	Country	Key	Local	ownerships	GCS NGK	GCS Counter 	GAP Capacity 20	GAP Capacity 30	Installed Capacity 20	Installed Capacity 30	Category	Classification Number	Screen Cases	Classification	Screens	Counter Participation	NGK Participation	Annual Ranking	Performance	Total GCS	Type of Store	Special Day Hour Order	Daypart Hour Description	Ownerships Order	RankingMonth	Year	Quarter	Month	Day
URUGUAY-PC2-01/07/2023	3/7/2023 0:00	URUGUAY	URUGUAY-PC2	PC2	A	37	45	-43	-83	80	120	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	4	54,88 %	45,12 %	50	9,25	82	FC	18	17:00 18:00	1	16	2023	Qtr 3	July	1
COLOMBIA-ATL-01/07/2023	6/7/2023 0:00	COLOMBIA	COLOMBIA-ATL	ATL	A	39	1	-41	-81	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	2,50 %	97,50 %	50	9,75	40	FS	6	13:00 14:00	1	7	2023	Qtr 3	July	1
URUGUAY-JBO-01/07/2023	6/7/2023 0:00	URUGUAY	URUGUAY-JBO	JBO	A	42	26	-78	-138	120	180	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	6	38,24 %	61,76 %	165	7,00	68	FS	13	12:00 13:00	1	50	2023	Qtr 3	July	1
URUGUAY-PAM-01/07/2023	7/7/2023 0:00	URUGUAY	URUGUAY-PAM	PAM	A	71	4	-49	-109	120	180	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	6	5,33 %	94,67 %	171	11,83	75	IS	20	19:00 20:00	1	50	2023	Qtr 3	July	1
COLOMBIA-SAL-01/07/2023	9/7/2023 0:00	COLOMBIA	COLOMBIA-SAL	SAL	A	19	2	-21	-41	40	60	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	2	9,52 %	90,48 %	295	9,50	21	FC	6	13:00 14:00	1	50	2023	Qtr 3	July	1
COLOMBIA-SMA-01/07/2023	9/7/2023 0:00	COLOMBIA	COLOMBIA-SMA	SMA	A	43	15	-37	-77	80	120	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	25,86 %	74,14 %	136	10,75	58	FS	13	20:00 21:00	1	50	2023	Qtr 3	July	1
ECUADOR-ALB-01/07/2023	9/7/2023 0:00	ECUADOR	ECUADOR-ALB	ALB	A	31	15	-49	-89	80	120	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	4	32,61 %	67,39 %	315	7,75	46	FS	14	21:00 22:00	1	50	2023	Qtr 3	July	1
URUGUAY-NC2-01/07/2023	11/7/2023 0:00	URUGUAY	URUGUAY-NC2	NC2	A	56	50	-24	-64	80	120	Between 10 and 15 GCs	4	with GCs and Screens	Locations with Oportunity	4	47,17 %	52,83 %	112	14,00	106	MS	15	14:00 15:00	1	50	2023	Qtr 3	July	1
ECUADOR-6DI-01/07/2023	12/7/2023 0:00	ECUADOR	ECUADOR-6DI	6DI	A	42	5	-38	-78	80	120	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	10,64 %	89,36 %	401	10,50	47	FS	10	17:00 18:00	1	50	2023	Qtr 3	July	1
ECUADOR-SRF-01/07/2023	13/7/2023 00:00	ECUADOR	ECUADOR-SRF	SRF	A	15	16	-65	-105	80	120	Less than 5 GCs	4	with GCs and Screens	Locations with Oportunity	4	51,61 %	48,39 %	489	3,75	31	FS	12	19:00 20:00	1	50	2023	Qtr 3	July	1
