City,Population
Boston,"650,706"
Worcester,"205,319"
Springfield,"154,064"
Cambridge,"118,488"
Lowell,"113,608"
Brockton,"104,826"
Quincy,"101,727"
Lynn,"100,891"
New Bedford,"100,682"
