Lifecycle Status,Manufacturer,Part Number,Series,Description,Replacement Part Number,Item #,Bin Location,Installed Quantity,Recommended Spares,Storeroom Quantity,PMA Quantity,P2 Quantity,Stash Quantity,Insufficient Spares,Excess Spares,List Price,Installed Total,Recommended Total,Storeroom Total,PMA Total,P2 Total,Stash Total,Insufficient Total,Excess Total
ACTIVE,ROCKWELL,20-750-S1,,POWERFLEX 750 SAFE SPEED MON OPT MODULE,NOT AVAILABLE,,,10,1,1,0,0,0,0,0," $	1,178 "," $	11,779 "," $	1,178 "," $	1,178 ", $	-   , $	-   , $	-   , $	-   , $	-   
DISCONTINUED,ROCKWELL,2090-UCSR-A300,,ACTIVE SHUNT REGULATOR,KINETIX 5500 OR 350 OR 300,,,1,1,2,0,0,0,0,1, $	773 , $	773 , $	773 ," $	1,547 ", $	-   , $	-   , $	-   , $	-   , $	773 
ACTIVE MATURE,ROCKWELL,2090-UXLF-123,,ULTRA SERIES 23A AC LINE FILTER,NOT AVAILABLE,,,2,1,0,0,0,0,1,0, $	344 , $	688 , $	344 , $	-   , $	-   , $	-   , $	-   , $	344 , $	-   
ACTIVE MATURE,ROCKWELL,2094-BC07-M05-M,,KINETIX 6200/6500 INTEGRATED MODULE,NOT APPLICABLE,,,4,1,0,0,0,0,1,0," $	8,113 "," $	32,452 "," $	8,113 ", $	-   , $	-   , $	-   , $	-   ," $	8,113 ", $	-   
ACTIVE MATURE,ROCKWELL,2094-BM03-M,,KINETIX 6200/6500 POWER MODULE,NOT APPLICABLE,,,6,1,1,0,0,0,0,0," $	3,438 "," $	20,628 "," $	3,438 "," $	3,438 ", $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE MATURE,ROCKWELL,2094-EN02D-M01-S0,,KINETIX 6200/6500 CONTROL MODULE,NOT APPLICABLE,,,10,1,1,0,0,0,0,0," $	1,472 "," $	14,716 "," $	1,472 "," $	1,472 ", $	-   , $	-   , $	-   , $	-   , $	-   
END OF LIFE,ROCKWELL,2097-V31PR2-LM,,KINETIX 350 800W SERVO DRIVE,NOT AVAILABLE,69007632,NR3S11D3,3,1,2,0,0,0,0,1," $	1,742 "," $	5,226 "," $	1,742 "," $	3,484 ", $	-   , $	-   , $	-   , $	-   ," $	1,742 "
END OF LIFE,ROCKWELL,2097-V33PR5-LM,,KINETIX 350 2.0KW SERVO DRIVE,NOT AVAILABLE,,,1,1,1,0,0,0,0,0," $	2,080 "," $	2,080 "," $	2,080 "," $	2,080 ", $	-   , $	-   , $	-   , $	-   , $	-   
END OF LIFE,ROCKWELL,2097-V34PR3-LM,,KINETIX 350 1.0KW SERVO DRIVE,NOT AVAILABLE,,,12,1,0,0,0,0,1,0," $	1,742 "," $	20,904 "," $	1,742 ", $	-   , $	-   , $	-   , $	-   ," $	1,742 ", $	-   
DISCONTINUED,ROCKWELL,2098-DSD-020,,ULTRA 3000 2KW SERVO DRIVE,K3X0/K5500,69007226,NR3S11D3,2,1,2,0,0,0,0,1," $	2,951 "," $	5,902 "," $	2,951 "," $	5,902 ", $	-   , $	-   , $	-   , $	-   ," $	2,951 "
DISCONTINUED,ROCKWELL,2098-DSD-HV100,,ULTRA 3000 SERVO DRIVE,K3X0/K5500,,,1,1,1,0,0,0,0,0," $	4,936 "," $	4,936 "," $	4,936 "," $	4,936 ", $	-   , $	-   , $	-   , $	-   , $	-   
END OF LIFE,ROCKWELL,20AD011A0AYNANC0,,POWERFLEX 70 AC DRIVE 11 A AT 7.5 HP 20A,NOT AVAILABLE,,,2,1,0,0,0,0,1,0," $	2,851 "," $	5,701 "," $	2,851 ", $	-   , $	-   , $	-   , $	-   ," $	2,851 ", $	-   
END OF LIFE,ROCKWELL,20AD014A0AYNANC0,,POWERFLEX 70 AC DRIVE 14 A AT 10 HP 20A,NOT AVAILABLE,,,2,1,0,0,0,0,1,0," $	3,448 "," $	6,896 "," $	3,448 ", $	-   , $	-   , $	-   , $	-   ," $	3,448 ", $	-   
END OF LIFE,ROCKWELL,20AD014A3AYNANC0,,POWERFLEX 70 AC DRIVE 14 A AT 10 HP 20A,20AD014ANAYNANC0 AND 20-HIM-A6,,,1,1,0,0,0,0,1,0," $	3,894 "," $	3,894 "," $	3,894 ", $	-   , $	-   , $	-   , $	-   ," $	3,894 ", $	-   
END OF LIFE,ROCKWELL,20AD022A0AYNANC0,,POWERFLEX 70 AC DRIVE 22 A AT 15 HP 20A,NOT AVAILABLE,,,0,0,1,0,0,0,0,1," $	4,201 ", $	-   , $	-   ," $	4,201 ", $	-   , $	-   , $	-   , $	-   ," $	4,201 "
END OF LIFE,ROCKWELL,20AD027A0AYNANC0,,POWERFLEX 70 AC DRIVE 27 A AT 20 HP 20A,NOT AVAILABLE,,,4,1,1,0,0,0,0,0," $	5,084 "," $	20,338 "," $	5,084 "," $	5,084 ", $	-   , $	-   , $	-   , $	-   , $	-   
