Action day,Created on,Last update,Campaign name,Status,Platform,Keyword,Ad impressions,Ad clicks,CTR,Site sessions,Unique visitors,Total orders,Total sales,Average order value,Order conversion rate,Amount spent,ROAS,CPC,CPA
2023-12-05,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,36,0,0.00%,0,0,0,0.00,0.00,0.00%,0.08,0.00%,0.00,0.00
2023-12-10,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,35,0,0.00%,0,0,0,0.00,0.00,0.00%,0.13,0.00%,0.00,0.00
2023-12-06,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,35,0,0.00%,0,0,0,0.00,0.00,0.00%,0.22,0.00%,0.00,0.00
2023-12-07,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,35,0,0.00%,0,0,0,0.00,0.00,0.00%,0.24,0.00%,0.00,0.00
2023-12-12,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,17,0,0.00%,0,0,0,0.00,0.00,0.00%,0.01,0.00%,0.00,0.00
2023-12-13,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,8,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-14,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,4,1,25.00%,0,0,0,0.00,0.00,0.00%,0.01,0.00%,0.01,0.00
2023-12-15,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,2,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-13,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-27,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-06,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-12,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-11-30,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-03,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
