Date	Amount Untaxed
2023-12-01	43207.340000000004
2023-12-04	108460.31999999999
2023-12-05	257679.05
2023-12-06	201587.88999999998
2023-12-07	210007.05000000002
2023-12-08	395155.75
2023-12-11	425903.06
2023-12-12	147001.47
2023-12-13	261713.31
2023-12-14	297890.99
2023-12-15	268290.69
2023-12-18	240925.06999999998
2023-12-19	196651.12
2023-12-20	373886.57
2023-12-21	216874.49
2023-12-22	74621.20999999999
2023-12-26	20411.16
2023-12-27	275170.37
2023-12-28	83430.15
2023-12-29	190592.41
